rows,mode,workload,pandas_mean_ms,duckdb_mean_ms,pandas_over_duckdb,ratio_ci95_low,ratio_ci95_high,observed_faster,paired_blocks
1000,memory,clean_derive,0.5876455,1.000313,0.587461624511528,,,pandas,1
1000,memory,filter_project,0.5725415,0.8871245000000001,0.6453902468030135,,,pandas,1
1000,memory,groupby,2.0098545,0.9311039999999999,2.1585714377770904,,,duckdb,1
1000,memory,join_groupby,3.5155000000000003,1.6961665,2.072614923122229,,,duckdb,1
1000,parquet,clean_derive,1.2841875,0.910917,1.4097744360902256,,,duckdb,1
1000,parquet,filter_project,1.6225835,0.791521,2.0499563498631117,,,duckdb,1
1000,parquet,groupby,2.7029794999999996,0.945354,2.859224692549034,,,duckdb,1
1000,parquet,join_groupby,5.454478999999999,2.3528335,2.31825966435789,,,duckdb,1
10000,memory,clean_derive,0.6239375,1.1901869999999999,0.5242348471290647,,,pandas,1
10000,memory,filter_project,0.515,0.9331875000000001,0.5518719442770076,,,pandas,1
10000,memory,groupby,1.7449585,1.0231455,1.7054842150994165,,,duckdb,1
10000,memory,join_groupby,3.792854,2.213292,1.7136708577087887,,,duckdb,1
10000,parquet,clean_derive,1.5827295000000001,1.1640215,1.359708132538789,,,duckdb,1
10000,parquet,filter_project,1.5199795,1.067,1.4245356138706655,,,duckdb,1
10000,parquet,groupby,2.808396,1.011833,2.775552882738555,,,duckdb,1
10000,parquet,join_groupby,5.592229,3.2711045,1.709584331530833,,,duckdb,1
100000,memory,clean_derive,0.8101670000000001,1.965229,0.4122506842714005,,,pandas,1
100000,memory,filter_project,0.694021,1.138333,0.6096818769200225,,,pandas,1
100000,memory,groupby,2.6067085,1.5028130000000002,1.734552801978689,,,duckdb,1
100000,memory,join_groupby,5.4985415,3.8493125,1.4284476773449803,,,duckdb,1
100000,parquet,clean_derive,2.484979,3.0396455,0.8175226354520618,,,pandas,1
100000,parquet,filter_project,2.865521,2.340125,1.224516211740826,,,duckdb,1
100000,parquet,groupby,3.6976665,1.797604,2.0569972585730785,,,duckdb,1
100000,parquet,join_groupby,7.5067710000000005,5.062666999999999,1.482770049857121,,,duckdb,1
