rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
100000,memory,filter_project,duckdb,1,1,1.312375,1.338,19886,True
100000,memory,filter_project,duckdb,1,2,0.964291,1.028,19886,True
100000,memory,filter_project,pandas,1,1,0.701667,0.709,19886,True
100000,memory,filter_project,pandas,1,2,0.686375,0.695,19886,True
10000,parquet,join_groupby,duckdb,1,1,3.173834,3.385,200,True
10000,parquet,join_groupby,duckdb,1,2,3.368375,3.608,200,True
10000,parquet,join_groupby,pandas,1,1,5.576667,5.992,200,True
10000,parquet,join_groupby,pandas,1,2,5.607791,6.011,200,True
100000,parquet,clean_derive,duckdb,1,1,3.219041,3.257,100000,True
100000,parquet,clean_derive,duckdb,1,2,2.86025,2.896,100000,True
100000,parquet,clean_derive,pandas,1,1,2.510167,3.821,100000,True
100000,parquet,clean_derive,pandas,1,2,2.459791,3.349,100000,True
10000,parquet,groupby,pandas,1,1,3.022417,3.255,50,True
10000,parquet,groupby,pandas,1,2,2.594375,2.834,50,True
10000,parquet,groupby,duckdb,1,1,1.136458,1.546,50,True
10000,parquet,groupby,duckdb,1,2,0.887208,0.998,50,True
100000,parquet,groupby,pandas,1,1,3.922958,4.432,50,True
100000,parquet,groupby,pandas,1,2,3.472375,3.898,50,True
100000,parquet,groupby,duckdb,1,1,1.8865,1.943,50,True
100000,parquet,groupby,duckdb,1,2,1.708708,1.802,50,True
100000,memory,clean_derive,duckdb,1,1,1.971291,2.0,100000,True
100000,memory,clean_derive,duckdb,1,2,1.959167,2.002,100000,True
100000,memory,clean_derive,pandas,1,1,0.9,0.905,100000,True
100000,memory,clean_derive,pandas,1,2,0.720334,0.728,100000,True
1000,parquet,clean_derive,duckdb,1,1,0.866667,0.91,1000,True
1000,parquet,clean_derive,duckdb,1,2,0.955167,0.992,1000,True
1000,parquet,clean_derive,pandas,1,1,1.552875,1.811,1000,True
1000,parquet,clean_derive,pandas,1,2,1.0155,1.196,1000,True
1000,parquet,filter_project,pandas,1,1,1.529042,1.729,189,True
1000,parquet,filter_project,pandas,1,2,1.716125,1.896,189,True
1000,parquet,filter_project,duckdb,1,1,0.9665,0.991,189,True
1000,parquet,filter_project,duckdb,1,2,0.616542,0.671,189,True
10000,memory,filter_project,duckdb,1,1,0.925625,0.964,2004,True
10000,memory,filter_project,duckdb,1,2,0.94075,1.054,2004,True
10000,memory,filter_project,pandas,1,1,0.491083,0.5,2004,True
10000,memory,filter_project,pandas,1,2,0.538917,0.547,2004,True
10000,parquet,clean_derive,duckdb,1,1,1.273584,1.304,10000,True
10000,parquet,clean_derive,duckdb,1,2,1.054459,1.097,10000,True
10000,parquet,clean_derive,pandas,1,1,1.739042,2.071,10000,True
10000,parquet,clean_derive,pandas,1,2,1.426417,1.738,10000,True
1000,memory,filter_project,duckdb,1,1,0.976708,1.009,189,True
1000,memory,filter_project,duckdb,1,2,0.797541,0.844,189,True
1000,memory,filter_project,pandas,1,1,0.6455,0.655,189,True
1000,memory,filter_project,pandas,1,2,0.499583,0.508,189,True
100000,parquet,filter_project,pandas,1,1,2.953875,3.765,19886,True
100000,parquet,filter_project,pandas,1,2,2.777167,3.531,19886,True
100000,parquet,filter_project,duckdb,1,1,2.378875,2.427,19886,True
100000,parquet,filter_project,duckdb,1,2,2.301375,2.337,19886,True
1000,memory,clean_derive,duckdb,1,1,0.989042,1.078,1000,True
1000,memory,clean_derive,duckdb,1,2,1.011584,1.035,1000,True
1000,memory,clean_derive,pandas,1,1,0.67225,0.675,1000,True
1000,memory,clean_derive,pandas,1,2,0.503041,0.51,1000,True
1000,parquet,groupby,duckdb,1,1,0.931625,1.076,50,True
1000,parquet,groupby,duckdb,1,2,0.959083,1.018,50,True
1000,parquet,groupby,pandas,1,1,2.914417,3.099,50,True
1000,parquet,groupby,pandas,1,2,2.491542,2.659,50,True
10000,memory,join_groupby,pandas,1,1,3.867083,3.871,200,True
10000,memory,join_groupby,pandas,1,2,3.718625,3.723,200,True
10000,memory,join_groupby,duckdb,1,1,2.374917,3.572,200,True
10000,memory,join_groupby,duckdb,1,2,2.051667,3.203,200,True
1000,parquet,join_groupby,duckdb,1,1,2.440584,3.813,200,True
1000,parquet,join_groupby,duckdb,1,2,2.265083,2.442,200,True
1000,parquet,join_groupby,pandas,1,1,5.554542,5.935,200,True
1000,parquet,join_groupby,pandas,1,2,5.354416,5.769,200,True
10000,parquet,filter_project,pandas,1,1,1.563417,1.864,2004,True
10000,parquet,filter_project,pandas,1,2,1.476542,1.744,2004,True
10000,parquet,filter_project,duckdb,1,1,1.097292,1.466,2004,True
10000,parquet,filter_project,duckdb,1,2,1.036708,1.072,2004,True
10000,memory,groupby,pandas,1,1,1.769583,1.781,50,True
10000,memory,groupby,pandas,1,2,1.720334,1.743,50,True
10000,memory,groupby,duckdb,1,1,1.07075,1.373,50,True
10000,memory,groupby,duckdb,1,2,0.975541,1.218,50,True
