rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
1000,memory,groupby,pandas,1,1,1.250042,1.258,50,True,,,,,,,,,
1000,memory,groupby,pandas,1,2,1.045167,1.051,50,True,,,,,,,,,
1000,memory,groupby,duckdb,1,1,0.863333,1.184,50,True,,,,,,,,,
1000,memory,groupby,duckdb,1,2,0.89725,1.191,50,True,,,,,,,,,
1000,parquet,groupby,duckdb,1,1,0.805,0.885,50,True,,,,,,,,,
1000,parquet,groupby,duckdb,1,2,1.047833,1.055,50,True,,,,,,,,,
1000,parquet,groupby,pandas,1,1,1.994667,2.168,50,True,,,,,,,,,
1000,parquet,groupby,pandas,1,2,1.823333,1.981,50,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,1,3.577875,4.744,200,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,2,3.581375,3.891,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,1,5.439709,5.45,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,2,5.285584,5.293,200,True,,,,,,,,,
1000,memory,filter_project,duckdb,1,1,0.538417,0.573,189,True,,,,,,,,,
1000,memory,filter_project,duckdb,1,2,0.459916,0.488,189,True,,,,,,,,,
1000,memory,filter_project,pandas,1,1,0.396667,0.405,189,True,,,,,,,,,
1000,memory,filter_project,pandas,1,2,0.297292,0.303,189,True,,,,,,,,,
1000,warehouse,clean_derive,snowflake,1,1,1470.249625,5.066,1000,True,1468.415416,1.834209,01c6f1a1-0001-fcf9-0001-9ade000a913a,1318.0,1241.0,77.0,0.0,0.0,10240.0
1000,warehouse,clean_derive,snowflake,1,2,72.374875,3.051,1000,True,71.504125,0.87075,01c6f1a1-0001-fe0c-0001-9ade000af012,45.0,34.0,11.0,0.0,0.0,10240.0
100000,memory,clean_derive,pandas,1,1,0.566583,0.577,100000,True,,,,,,,,,
100000,memory,clean_derive,pandas,1,2,0.521333,0.525,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,1,1.640208,2.624,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,2,1.549,1.597,100000,True,,,,,,,,,
