rows,mode,workload,engine,import_rss_bytes,setup_rss_bytes,process_peak_rss_bytes,output_bytes
1000,memory,groupby,pandas,121192448.0,129679360.0,130744320.0,1732
1000,memory,groupby,duckdb,121569280.0,133808128.0,138264576.0,1732
1000,parquet,groupby,duckdb,121602048.0,124289024.0,127647744.0,1732
1000,parquet,groupby,pandas,121323520.0,121323520.0,130793472.0,1732
100000,memory,join_groupby,duckdb,121651200.0,145522688.0,150962176.0,6532
100000,memory,join_groupby,pandas,121454592.0,139345920.0,147996672.0,6532
1000,memory,filter_project,duckdb,121405440.0,133824512.0,134971392.0,4668
1000,memory,filter_project,pandas,121602048.0,130039808.0,130383872.0,4668
1000,warehouse,clean_derive,snowflake,,,,16132
100000,memory,clean_derive,pandas,121356288.0,140066816.0,140328960.0,1600132
100000,memory,clean_derive,duckdb,121438208.0,143982592.0,146079744.0,1600132
10000,parquet,groupby,duckdb,121454592.0,124256256.0,127713280.0,1732
10000,parquet,groupby,pandas,121503744.0,121503744.0,131760128.0,1732
10000,warehouse,clean_derive,snowflake,,,,160132
100000,memory,filter_project,duckdb,121323520.0,144097280.0,145391616.0,477396
100000,memory,filter_project,pandas,121487360.0,141787136.0,142196736.0,477396
10000,warehouse,groupby,snowflake,,,,1732
1000,parquet,clean_derive,pandas,121257984.0,121257984.0,130088960.0,16132
1000,parquet,clean_derive,duckdb,121683968.0,124567552.0,127877120.0,16132
100000,parquet,clean_derive,duckdb,121700352.0,124420096.0,131399680.0,1600132
100000,parquet,clean_derive,pandas,121323520.0,121323520.0,140296192.0,1600132
100000,warehouse,filter_project,snowflake,,,,477396
10000,warehouse,join_groupby,snowflake,,,,6532
100000,warehouse,groupby,snowflake,,,,1732
100000,parquet,join_groupby,pandas,121274368.0,121274368.0,147554304.0,6532
100000,parquet,join_groupby,duckdb,121634816.0,124387328.0,134414336.0,6532
1000,warehouse,filter_project,snowflake,,,,4668
1000,parquet,filter_project,pandas,121438208.0,121438208.0,130498560.0,4668
1000,parquet,filter_project,duckdb,121290752.0,124174336.0,127221760.0,4668
100000,memory,groupby,duckdb,121159680.0,141049856.0,145145856.0,1732
100000,memory,groupby,pandas,121405440.0,137035776.0,138149888.0,1732
100000,parquet,groupby,pandas,121487360.0,121487360.0,138412032.0,1732
100000,parquet,groupby,duckdb,121470976.0,124223488.0,128565248.0,1732
10000,parquet,clean_derive,pandas,121028608.0,121028608.0,130842624.0,160132
10000,parquet,clean_derive,duckdb,121290752.0,124174336.0,127860736.0,160132
10000,warehouse,filter_project,snowflake,,,,48228
10000,parquet,join_groupby,pandas,121552896.0,121552896.0,140115968.0,6532
10000,parquet,join_groupby,duckdb,121307136.0,124108800.0,131284992.0,6532
1000,memory,clean_derive,duckdb,121602048.0,133955584.0,135184384.0,16132
1000,memory,clean_derive,pandas,121307136.0,129957888.0,130236416.0,16132
1000,memory,join_groupby,duckdb,121602048.0,138887168.0,143982592.0,6532
1000,memory,join_groupby,pandas,122257408.0,134332416.0,137543680.0,6532
1000,parquet,join_groupby,duckdb,121749504.0,124436480.0,130973696.0,6532
1000,parquet,join_groupby,pandas,121683968.0,121683968.0,137019392.0,6532
100000,parquet,filter_project,pandas,121389056.0,121389056.0,140050432.0,477396
100000,parquet,filter_project,duckdb,121307136.0,124157952.0,129810432.0,477396
100000,warehouse,clean_derive,snowflake,,,,1600132
1000,warehouse,join_groupby,snowflake,,,,6532
10000,parquet,filter_project,duckdb,121421824.0,124190720.0,127483904.0,48228
10000,parquet,filter_project,pandas,121536512.0,121536512.0,131596288.0,48228
100000,warehouse,join_groupby,snowflake,,,,6532
10000,memory,join_groupby,pandas,121421824.0,133971968.0,137003008.0,6532
10000,memory,join_groupby,duckdb,121454592.0,137871360.0,143212544.0,6532
10000,memory,clean_derive,pandas,121978880.0,131465216.0,131792896.0,160132
10000,memory,clean_derive,duckdb,121405440.0,134578176.0,135954432.0,160132
1000,warehouse,groupby,snowflake,,,,1732
10000,memory,filter_project,duckdb,121274368.0,134594560.0,135938048.0,48228
10000,memory,filter_project,pandas,121667584.0,130940928.0,131334144.0,48228
10000,memory,groupby,pandas,121405440.0,130285568.0,131416064.0,1732
10000,memory,groupby,duckdb,121192448.0,133840896.0,137756672.0,1732
