,,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned
,,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
rows,workload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,clean_derive,2,769.9597705,987.7654465821546,769.9597705,71.504125,1468.415416,2,1.3524795,0.6812683922952099,1.3524795,0.87075,1.834209,2,681.5,900.146932450475,681.5,45.0,1318.0,2,44.0,46.66904755831214,44.0,11.0,77.0,2,637.5,853.4778848921628,637.5,34.0,1241.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,10240.0,0.0,10240.0,10240.0,10240.0
1000,filter_project,2,61.193687,1.9687323570338373,61.193687,59.801583,62.585791,2,0.5767709999999999,0.02177323200629624,0.5767709999999999,0.561375,0.592167,2,39.5,0.7071067811865476,39.5,39.0,40.0,2,9.5,0.7071067811865476,9.5,9.0,10.0,2,30.0,0.0,30.0,30.0,30.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,10240.0,0.0,10240.0,10240.0,10240.0
1000,groupby,2,141.008146,27.89715998324709,141.008146,121.281875,160.734417,2,0.561937,0.0043897188976060805,0.561937,0.558833,0.565041,2,89.5,37.476659402887016,89.5,63.0,116.0,2,19.5,0.7071067811865476,19.5,19.0,20.0,2,70.0,36.76955262170047,70.0,44.0,96.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,10240.0,0.0,10240.0,10240.0,10240.0
1000,join_groupby,2,135.3613335,39.92584182635909,135.3613335,107.1295,163.593167,2,0.5475835,0.014436999151485675,0.5475835,0.537375,0.557792,2,95.5,34.64823227814083,95.5,71.0,120.0,2,23.5,2.1213203435596424,23.5,22.0,25.0,2,72.0,32.526911934581186,72.0,49.0,95.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,248832.0,0.0,248832.0,248832.0,248832.0
10000,clean_derive,2,209.5767295,77.1137951873419,209.5767295,155.049042,264.104417,2,0.9441245,0.3985133610614581,0.9441245,0.662333,1.225916,2,107.0,9.899494936611665,107.0,100.0,114.0,2,68.0,2.8284271247461903,68.0,66.0,70.0,2,39.0,12.727922061357855,39.0,30.0,48.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,95232.0,0.0,95232.0,95232.0,95232.0
10000,filter_project,2,99.8136875,9.093658371101949,99.8136875,93.3835,106.243875,2,0.6646045,0.03426568750951881,0.6646045,0.640375,0.688834,2,59.5,6.363961030678928,59.5,55.0,64.0,2,14.0,2.8284271247461903,14.0,12.0,16.0,2,45.5,3.5355339059327378,45.5,43.0,48.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,95232.0,0.0,95232.0,95232.0,95232.0
10000,groupby,2,199.792125,24.199255975577596,199.792125,182.680667,216.903583,2,0.987271,0.4472153406156815,0.987271,0.671042,1.3035,2,130.0,16.97056274847714,130.0,118.0,142.0,2,20.0,1.4142135623730951,20.0,19.0,21.0,2,110.0,18.384776310850235,110.0,97.0,123.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,95232.0,0.0,95232.0,95232.0,95232.0
10000,join_groupby,2,212.0438335,26.732760882706163,212.0438335,193.140917,230.94675,2,14.3724165,19.481734395028706,14.3724165,0.59675,28.148083,2,174.5,24.748737341529164,174.5,157.0,192.0,2,24.0,1.4142135623730951,24.0,23.0,25.0,2,150.5,23.33452377915607,150.5,134.0,167.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,333824.0,0.0,333824.0,333824.0,333824.0
