rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
10000000,memory,filter_project,duckdb,1,1,17.576417,49.739,1980090,True
10000000,memory,filter_project,duckdb,1,2,11.504084,34.355,1980090,True
10000000,memory,filter_project,duckdb,1,3,11.276125,33.651,1980090,True
10000000,memory,filter_project,duckdb,1,4,11.10625,32.979,1980090,True
10000000,memory,filter_project,duckdb,1,5,11.174209,33.271,1980090,True
10000000,memory,filter_project,pandas,1,1,25.413708,25.381,1980090,True
10000000,memory,filter_project,pandas,1,2,15.19975,15.175,1980090,True
10000000,memory,filter_project,pandas,1,3,15.443875,15.403,1980090,True
10000000,memory,filter_project,pandas,1,4,15.336834,15.32,1980090,True
10000000,memory,filter_project,pandas,1,5,15.348167,15.333,1980090,True
1000000,parquet,join_groupby,duckdb,1,1,8.466334,21.063,200,True
1000000,parquet,join_groupby,duckdb,1,2,8.214458,20.451,200,True
1000000,parquet,join_groupby,duckdb,1,3,8.310792,21.022,200,True
1000000,parquet,join_groupby,duckdb,1,4,7.943625,21.547,200,True
1000000,parquet,join_groupby,duckdb,1,5,8.497666,20.672,200,True
1000000,parquet,join_groupby,pandas,1,1,33.390334,42.267,200,True
1000000,parquet,join_groupby,pandas,1,2,32.307333,40.786,200,True
1000000,parquet,join_groupby,pandas,1,3,31.913583,40.169,200,True
1000000,parquet,join_groupby,pandas,1,4,35.414,44.869,200,True
1000000,parquet,join_groupby,pandas,1,5,33.480084,41.546,200,True
10000000,parquet,clean_derive,duckdb,1,1,67.72675,232.932,10000000,True
10000000,parquet,clean_derive,duckdb,1,2,68.135167,235.808,10000000,True
10000000,parquet,clean_derive,duckdb,1,3,67.053875,232.197,10000000,True
10000000,parquet,clean_derive,duckdb,1,4,66.405625,230.812,10000000,True
10000000,parquet,clean_derive,duckdb,1,5,66.056833,229.782,10000000,True
10000000,parquet,clean_derive,pandas,1,1,102.525833,230.814,10000000,True
10000000,parquet,clean_derive,pandas,1,2,98.604959,221.224,10000000,True
10000000,parquet,clean_derive,pandas,1,3,100.308166,224.708,10000000,True
10000000,parquet,clean_derive,pandas,1,4,99.961,224.694,10000000,True
10000000,parquet,clean_derive,pandas,1,5,100.330167,224.372,10000000,True
1000000,parquet,groupby,pandas,1,1,13.876292,21.219,50,True
1000000,parquet,groupby,pandas,1,2,11.433708,17.246,50,True
1000000,parquet,groupby,pandas,1,3,11.474625,17.52,50,True
1000000,parquet,groupby,pandas,1,4,12.039792,18.202,50,True
1000000,parquet,groupby,pandas,1,5,11.062958,16.763,50,True
1000000,parquet,groupby,duckdb,1,1,4.367375,12.138,50,True
1000000,parquet,groupby,duckdb,1,2,4.322792,12.315,50,True
1000000,parquet,groupby,duckdb,1,3,4.256334,12.298,50,True
1000000,parquet,groupby,duckdb,1,4,4.519167,12.689,50,True
1000000,parquet,groupby,duckdb,1,5,4.411583,12.493,50,True
10000000,parquet,groupby,pandas,1,1,105.786625,174.353,50,True
10000000,parquet,groupby,pandas,1,2,100.195625,166.479,50,True
10000000,parquet,groupby,pandas,1,3,99.94525,166.128,50,True
10000000,parquet,groupby,pandas,1,4,99.631334,166.04,50,True
10000000,parquet,groupby,pandas,1,5,99.491917,165.875,50,True
10000000,parquet,groupby,duckdb,1,1,29.513417,109.795,50,True
10000000,parquet,groupby,duckdb,1,2,29.438417,109.048,50,True
10000000,parquet,groupby,duckdb,1,3,29.574958,110.419,50,True
10000000,parquet,groupby,duckdb,1,4,28.725042,108.054,50,True
10000000,parquet,groupby,duckdb,1,5,28.778917,107.647,50,True
10000000,memory,clean_derive,duckdb,1,1,39.547459,118.018,10000000,True
10000000,memory,clean_derive,duckdb,1,2,39.031333,116.904,10000000,True
10000000,memory,clean_derive,duckdb,1,3,37.111042,115.274,10000000,True
10000000,memory,clean_derive,duckdb,1,4,41.830167,120.018,10000000,True
10000000,memory,clean_derive,duckdb,1,5,38.722959,117.403,10000000,True
10000000,memory,clean_derive,pandas,1,1,29.15775,29.154,10000000,True
10000000,memory,clean_derive,pandas,1,2,28.867209,28.833,10000000,True
10000000,memory,clean_derive,pandas,1,3,29.391875,29.367,10000000,True
10000000,memory,clean_derive,pandas,1,4,31.055416,31.011,10000000,True
10000000,memory,clean_derive,pandas,1,5,29.123542,29.042,10000000,True
100000,parquet,clean_derive,duckdb,1,1,3.358791,3.321,100000,True
100000,parquet,clean_derive,duckdb,1,2,3.248,3.26,100000,True
100000,parquet,clean_derive,duckdb,1,3,2.964291,3.042,100000,True
100000,parquet,clean_derive,duckdb,1,4,3.109875,3.143,100000,True
100000,parquet,clean_derive,duckdb,1,5,3.117417,3.152,100000,True
100000,parquet,clean_derive,pandas,1,1,2.593167,3.626,100000,True
100000,parquet,clean_derive,pandas,1,2,2.362167,3.355,100000,True
100000,parquet,clean_derive,pandas,1,3,2.381083,3.263,100000,True
100000,parquet,clean_derive,pandas,1,4,2.3105,3.345,100000,True
100000,parquet,clean_derive,pandas,1,5,2.205083,3.133,100000,True
100000,parquet,filter_project,pandas,1,1,2.963292,3.757,19886,True
100000,parquet,filter_project,pandas,1,2,2.934333,3.766,19886,True
100000,parquet,filter_project,pandas,1,3,2.692125,3.444,19886,True
100000,parquet,filter_project,pandas,1,4,2.817334,3.629,19886,True
100000,parquet,filter_project,pandas,1,5,3.128167,3.89,19886,True
100000,parquet,filter_project,duckdb,1,1,2.715458,2.767,19886,True
100000,parquet,filter_project,duckdb,1,2,2.678,2.724,19886,True
100000,parquet,filter_project,duckdb,1,3,2.343792,2.377,19886,True
100000,parquet,filter_project,duckdb,1,4,2.164042,2.202,19886,True
100000,parquet,filter_project,duckdb,1,5,2.2525,2.291,19886,True
1000000,memory,filter_project,duckdb,1,1,2.245334,4.823,198279,True
1000000,memory,filter_project,duckdb,1,2,2.281084,4.651,198279,True
1000000,memory,filter_project,duckdb,1,3,2.251125,4.777,198279,True
1000000,memory,filter_project,duckdb,1,4,1.966333,4.402,198279,True
1000000,memory,filter_project,duckdb,1,5,2.497167,4.963,198279,True
1000000,memory,filter_project,pandas,1,1,2.0935,2.104,198279,True
1000000,memory,filter_project,pandas,1,2,2.142167,2.152,198279,True
1000000,memory,filter_project,pandas,1,3,2.404458,2.416,198279,True
1000000,memory,filter_project,pandas,1,4,1.768125,1.773,198279,True
1000000,memory,filter_project,pandas,1,5,1.9225,1.932,198279,True
1000000,parquet,clean_derive,duckdb,1,1,8.57025,24.328,1000000,True
1000000,parquet,clean_derive,duckdb,1,2,9.062917,26.135,1000000,True
1000000,parquet,clean_derive,duckdb,1,3,8.633292,25.197,1000000,True
1000000,parquet,clean_derive,duckdb,1,4,9.627292,26.474,1000000,True
1000000,parquet,clean_derive,duckdb,1,5,8.445292,24.541,1000000,True
1000000,parquet,clean_derive,pandas,1,1,11.69775,27.444,1000000,True
1000000,parquet,clean_derive,pandas,1,2,9.269875,20.379,1000000,True
1000000,parquet,clean_derive,pandas,1,3,9.382792,20.288,1000000,True
