rows,mode,workload,engine,import_rss_bytes,setup_rss_bytes,process_peak_rss_bytes,output_bytes
10000000,memory,filter_project,duckdb,121782272,923402240,1052327936,47522292
10000000,memory,filter_project,pandas,120979456,919912448,1113718784,47522292
1000000,parquet,join_groupby,duckdb,120881152,123469824,149143552,6532
1000000,parquet,join_groupby,pandas,120946688,120946688,351780864,6532
10000000,parquet,clean_derive,duckdb,120700928,123371520,679395328,160000132
10000000,parquet,clean_derive,pandas,120864768,120864768,1442185216,160000132
1000000,parquet,groupby,pandas,120913920,120913920,212779008,1732
1000000,parquet,groupby,duckdb,121028608,123699200,135348224,1732
10000000,parquet,groupby,pandas,120733696,120733696,861782016,1732
10000000,parquet,groupby,duckdb,120963072,123600896,151552000,1732
10000000,memory,clean_derive,duckdb,120848384,926498816,1407991808,160000132
10000000,memory,clean_derive,pandas,120979456,921124864,1441873920,160000132
100000,parquet,clean_derive,duckdb,121110528,123699200,131825664,1600132
100000,parquet,clean_derive,pandas,120913920,120913920,140771328,1600132
100000,parquet,filter_project,pandas,120832000,120832000,138477568,477396
100000,parquet,filter_project,duckdb,120750080,123682816,130236416,477396
1000000,memory,filter_project,duckdb,121143296,221347840,228966400,4758828
1000000,memory,filter_project,pandas,120668160,219398144,231817216,4758828
1000000,parquet,clean_derive,duckdb,120832000,123437056,193265664,16000132
1000000,parquet,clean_derive,pandas,120766464,120766464,267223040,16000132
100000,memory,filter_project,duckdb,120684544,143278080,145227776,477396
100000,memory,filter_project,pandas,120995840,138117120,139362304,477396
10000000,parquet,filter_project,pandas,120832000,120832000,547831808,47522292
10000000,parquet,filter_project,duckdb,120897536,123535360,311787520,47522292
100000,memory,clean_derive,duckdb,120733696,142917632,144867328,1600132
100000,memory,clean_derive,pandas,120815616,137412608,141164544,1600132
100000,parquet,groupby,duckdb,120995840,123699200,129204224,1732
100000,parquet,groupby,pandas,121061376,121061376,139247616,1732
1000000,memory,join_groupby,pandas,121077760,199049216,349896704,6532
1000000,memory,join_groupby,duckdb,120897536,205193216,210862080,6532
100000,parquet,join_groupby,duckdb,121274368,123994112,135643136,6532
100000,parquet,join_groupby,pandas,120848384,120848384,149372928,6532
1000000,parquet,filter_project,pandas,121257984,121257984,201900032,4758828
1000000,parquet,filter_project,duckdb,120586240,123338752,154222592,4758828
1000000,memory,groupby,pandas,120651776,190070784,209682432,1732
1000000,memory,groupby,duckdb,120881152,194363392,198967296,1732
10000000,memory,join_groupby,duckdb,120619008,741261312,746766336,6532
10000000,memory,join_groupby,pandas,121028608,737247232,2564521984,6532
10000000,parquet,join_groupby,pandas,120832000,120832000,2563670016,6532
10000000,parquet,join_groupby,duckdb,120946688,123944960,161087488,6532
10000000,memory,groupby,pandas,120864768,688553984,861650944,1732
10000000,memory,groupby,duckdb,120733696,692535296,697155584,1732
1000000,memory,clean_derive,pandas,120635392,220020736,268976128,16000132
1000000,memory,clean_derive,duckdb,120717312,223838208,264962048,16000132
100000,memory,groupby,duckdb,120733696,139722752,143785984,1732
100000,memory,groupby,pandas,121503744,135970816,139608064,1732
100000,memory,join_groupby,duckdb,120815616,142540800,151437312,6532
100000,memory,join_groupby,pandas,120864768,139247616,150306816,6532
