rows,mode,workload,pandas_mean_ms,duckdb_mean_ms,pandas_over_duckdb,ratio_ci95_low,ratio_ci95_high,observed_faster,paired_blocks
100000,memory,clean_derive,0.5575875333333333,1.6927416,0.32939908449897687,0.28563395500829114,0.3754693814132329,pandas,6
100000,memory,filter_project,0.47963210000000006,0.809393,0.5925824661196725,0.4406740264633373,0.7943607179073416,pandas,6
100000,memory,groupby,1.6229110666666664,1.1242596666666669,1.4435375694642307,1.2964377947774113,1.6281145302568782,duckdb,6
100000,memory,join_groupby,5.418204033333333,3.4149514333333326,1.5866123249795756,1.4995550208985566,1.6727718649889727,duckdb,6
100000,parquet,clean_derive,2.0303971,2.7048362000000004,0.750654364948236,0.6881779606906298,0.8092479891066133,pandas,6
100000,parquet,filter_project,2.3707236999999997,2.1187291666666668,1.1189366424448617,1.084140183727187,1.1556255516959888,duckdb,6
100000,parquet,groupby,2.9350332333333333,1.561875,1.879172938508737,1.74444273688877,2.061237951190006,duckdb,6
100000,parquet,join_groupby,7.339311100000001,4.417247199999999,1.661512423393466,1.5736993329350928,1.7388543953875775,duckdb,6
1000000,memory,clean_derive,2.8426806333333334,4.7299055333333335,0.6010015661623573,0.5819654945995058,0.620404722285074,pandas,6
1000000,memory,filter_project,1.7316791333333335,1.5837250333333335,1.0934215832205385,1.0011083751726118,1.1868572237272563,duckdb,6
1000000,memory,groupby,6.979313866666668,2.2083082333333333,3.16047993722857,3.100361401747862,3.222865880493531,duckdb,6
1000000,memory,join_groupby,27.33965276666667,6.412141800000001,4.263731779398058,4.048673114130968,4.518175022672934,duckdb,6
1000000,parquet,clean_derive,8.670548533333333,8.3034944,1.0442047788137647,1.0298136482751439,1.0657141569854132,duckdb,6
1000000,parquet,filter_project,7.550572266666667,5.945183266666667,1.2700318775707156,1.2299782433237862,1.3059333065240986,duckdb,6
1000000,parquet,groupby,10.272704133333333,3.918682066666667,2.6214691466591886,2.547891465942265,2.69409920860153,duckdb,6
1000000,parquet,join_groupby,32.24492633333333,7.840913766666667,4.112393949594642,3.991500219463489,4.219759379080602,duckdb,6
10000000,memory,clean_derive,27.914301466666668,36.199170900000006,0.7711309616394187,0.7603630903451806,0.7852700673601881,pandas,6
10000000,memory,filter_project,15.586486033333335,10.764514,1.4479507419780713,1.3867301312227376,1.5242765671109582,duckdb,6
10000000,memory,groupby,61.198095800000004,14.061936099999999,4.352039105056096,4.242406610886859,4.4389293152398475,duckdb,6
10000000,memory,join_groupby,331.74904300000003,37.71176393333334,8.796964352727288,8.622105991815582,9.023361092913959,duckdb,6
10000000,parquet,clean_derive,76.21666673333334,66.13300146666667,1.152475542362147,1.1406039759151334,1.1641953574018298,duckdb,6
10000000,parquet,filter_project,57.79647226666666,46.4858985,1.2433119318252321,1.2314280221491192,1.25627351961478,duckdb,6
10000000,parquet,groupby,81.5763125,28.335209699999997,2.878973311427443,2.837305925202062,2.9273419432142807,duckdb,6
10000000,parquet,join_groupby,355.6527638333334,43.68739146666667,8.140856020316416,8.047080534665767,8.247415051473906,duckdb,6
