rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
100000,memory,groupby,pandas,1,1,1.967209,1.975,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,2,1.627625,1.634,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,3,1.652708,1.66,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,4,1.593625,1.601,50,True,,,,,,,,,
100000,memory,groupby,pandas,1,5,1.853458,1.854,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,1,1.587375,1.912,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,2,1.345041,1.6,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,3,1.370917,1.655,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,4,1.332958,2.185,50,True,,,,,,,,,
100000,memory,groupby,duckdb,1,5,1.255083,2.05,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,1,1.945916,2.012,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,2,1.885292,1.979,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,3,1.99725,2.088,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,4,1.945333,2.042,50,True,,,,,,,,,
100000,parquet,groupby,duckdb,1,5,1.947375,2.038,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,1,3.527917,4.061,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,2,3.191625,3.622,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,3,3.030083,3.458,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,4,3.384917,3.741,50,True,,,,,,,,,
100000,parquet,groupby,pandas,1,5,3.215625,3.613,50,True,,,,,,,,,
10000000,memory,join_groupby,duckdb,1,1,39.916875,151.358,200,True,,,,,,,,,
10000000,memory,join_groupby,duckdb,1,2,37.854125,142.221,200,True,,,,,,,,,
10000000,memory,join_groupby,duckdb,1,3,40.252667,149.865,200,True,,,,,,,,,
10000000,memory,join_groupby,duckdb,1,4,40.660667,148.445,200,True,,,,,,,,,
10000000,memory,join_groupby,duckdb,1,5,39.543583,149.127,200,True,,,,,,,,,
10000000,memory,join_groupby,pandas,1,1,358.524833,357.323,200,True,,,,,,,,,
10000000,memory,join_groupby,pandas,1,2,365.572875,364.863,200,True,,,,,,,,,
10000000,memory,join_groupby,pandas,1,3,346.733042,346.23,200,True,,,,,,,,,
10000000,memory,join_groupby,pandas,1,4,343.096916,342.65,200,True,,,,,,,,,
10000000,memory,join_groupby,pandas,1,5,349.659417,349.014,200,True,,,,,,,,,
100000,memory,filter_project,duckdb,1,1,0.918791,0.958,19886,True,,,,,,,,,
100000,memory,filter_project,duckdb,1,2,1.194041,1.229,19886,True,,,,,,,,,
100000,memory,filter_project,duckdb,1,3,0.886541,0.925,19886,True,,,,,,,,,
100000,memory,filter_project,duckdb,1,4,0.859208,1.168,19886,True,,,,,,,,,
100000,memory,filter_project,duckdb,1,5,0.974542,1.303,19886,True,,,,,,,,,
100000,memory,filter_project,pandas,1,1,0.759917,0.722,19886,True,,,,,,,,,
100000,memory,filter_project,pandas,1,2,0.659333,0.665,19886,True,,,,,,,,,
100000,memory,filter_project,pandas,1,3,0.680292,0.69,19886,True,,,,,,,,,
100000,memory,filter_project,pandas,1,4,0.949125,0.947,19886,True,,,,,,,,,
100000,memory,filter_project,pandas,1,5,0.705125,0.699,19886,True,,,,,,,,,
100000,warehouse,clean_derive,snowflake,1,1,412.684875,19.738,100000,True,270.178584,142.506291,01c6f1cf-0001-fe0c-0001-9ade000af856,211.0,36.0,175.0,0.0,0.0,973312.0
100000,warehouse,clean_derive,snowflake,1,2,297.26975,10.368,100000,True,252.0685,45.20125,01c6f1cf-0001-fe0c-0001-9ade000af85a,199.0,35.0,164.0,0.0,0.0,973312.0
100000,warehouse,clean_derive,snowflake,1,3,306.212208,10.416,100000,True,266.268666,39.943542,01c6f1cf-0001-fe0c-0001-9ade000af85e,216.0,39.0,177.0,0.0,0.0,973312.0
