,,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,execute_roundtrip_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,fetch_dataframe_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_total_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_execution_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_compilation_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_overload_queue_ms,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned,server_bytes_scanned
,,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
rows,workload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,clean_derive,30,293.1408666666667,40.80683227064853,281.44906249999997,248.777208,439.2905,30,98.74986386666666,91.06615061677758,59.303146,38.079958,429.578667,30,206.3,11.21006321308579,204.5,184.0,231.0,30,171.33333333333334,9.907619267020204,170.0,152.0,195.0,30,34.96666666666667,4.708637209195045,35.0,27.0,51.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,973312.0,0.0,973312.0,973312.0,973312.0
100000,filter_project,30,256.2574638666667,117.0998045911587,225.681687,180.470042,824.820708,30,47.8075611,12.745709383853592,43.9362705,32.281958,76.284667,30,149.13333333333333,25.303309492324665,140.5,126.0,239.0,30,105.33333333333333,8.272652634384903,105.0,93.0,126.0,30,43.8,19.27728697466136,35.5,29.0,113.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,973312.0,0.0,973312.0,973312.0,973312.0
100000,groupby,30,124.745643,109.79587761807466,84.242333,69.229042,624.527958,30,0.9648751,0.6205695934805739,0.6569375,0.492208,2.58975,30,52.9,5.628437646881022,52.5,47.0,76.0,30,18.233333333333334,1.4781939897267768,18.0,16.0,23.0,30,34.666666666666664,4.957288840049384,34.0,28.0,55.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,973312.0,0.0,973312.0,973312.0,973312.0
100000,join_groupby,30,169.1603944,119.49898148753543,134.514854,106.079958,707.276209,30,2.273038833333333,5.1720653651078115,1.1232085,0.54525,29.413083,30,102.63333333333334,103.3128771001594,79.0,68.0,645.0,30,51.53333333333333,100.01645841571771,33.0,30.0,581.0,30,51.1,12.48543979588031,46.0,38.0,95.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,1211904.0,0.0,1211904.0,1211904.0,1211904.0
1000000,clean_derive,30,539.0990027333334,57.713104081306916,518.306521,480.584792,667.677917,30,262.6717556666666,179.52986570740498,171.5109375,135.414875,781.57225,30,438.9,15.297847493390508,434.0,418.0,472.0,30,402.23333333333335,12.469779560956587,400.5,384.0,431.0,30,36.666666666666664,7.590072160546229,33.5,30.0,59.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7627264.0,0.0,7627264.0,7627264.0,7627264.0
1000000,filter_project,30,358.83973613333336,56.26305615189298,348.89450050000005,286.305375,492.451042,30,114.34726246666668,115.22084122293758,67.21129149999999,55.672833,479.601833,30,257.8,20.935697940977782,252.5,229.0,309.0,30,217.13333333333333,14.44307096328806,215.0,200.0,270.0,30,40.666666666666664,12.882314349079737,35.5,28.0,82.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7627264.0,0.0,7627264.0,7627264.0,7627264.0
1000000,groupby,30,166.21123346666667,200.57902334064525,101.6826255,82.32325,1047.7425,30,2.116984533333333,5.014317548308283,0.9994585,0.539458,28.422416,30,96.06666666666666,123.02450928598526,69.0,61.0,743.0,30,33.06666666666667,2.4904414971194786,33.0,28.0,39.0,30,63.0,122.15704984807962,36.0,30.0,706.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7627264.0,0.0,7627264.0,7627264.0,7627264.0
1000000,join_groupby,30,189.14732923333335,95.7189850692612,152.8547915,142.219958,647.436667,30,1.4490778000000002,0.6752071318410323,1.2746875,0.57075,2.467041,30,126.03333333333333,31.52173123782837,114.0,106.0,267.0,30,69.33333333333333,1.7287295182088014,69.0,67.0,74.0,30,56.7,30.859134901946806,46.0,39.0,198.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7865856.0,0.0,7865856.0,7865856.0,7865856.0
