rows,mode,workload,engine,block,run,call_id,compute_to_dataframe_ms,cpu_ms,elapsed_ms,fingerprint,input_ms,output_bytes,output_rows,query_ids,setup_ms,validated,server_queries
1000,warehouse,groupby,pandas,1,1,01c6f21b-0001-fe0c-0001-9ade000afd5a,3.652515,10.0,90.399544,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",86.747029,1732,50,"[""01c6f21b-0001-fe0c-0001-9ade000afd76""]",0.0,True,"{""01c6f21b-0001-fe0c-0001-9ade000afd76"": {""server_total_ms"": 70, ""server_compilation_ms"": 60, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,groupby,pandas,1,2,01c6f21b-0001-fe0c-0001-9ade000afd5a,3.667439,10.0,86.680369,"{""columns"": [""region_id"", ""total_cents"", ""total_quantity"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""10444308999742168037"", ""hash_xor"": ""5638033058446785103"", ""rows"": 50}",83.01293,1732,50,"[""01c6f21b-0001-fe0c-0001-9ade000afd7a""]",0.0,True,"{""01c6f21b-0001-fe0c-0001-9ade000afd7a"": {""server_total_ms"": 64, ""server_compilation_ms"": 55, ""server_execution_ms"": 9, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,filter_project,snowflake,1,1,01c6f21b-0001-fcf8-0001-9ade000aa80e,98.06333,0.0,98.06333,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""14020920903409201564"", ""hash_xor"": ""14094222170840866914"", ""rows"": 189}",,4668,189,"[""01c6f21b-0001-fcf8-0001-9ade000aa82a""]",0.0,True,"{""01c6f21b-0001-fcf8-0001-9ade000aa82a"": {""server_total_ms"": 69, ""server_compilation_ms"": 59, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,filter_project,snowflake,1,2,01c6f21b-0001-fcf8-0001-9ade000aa80e,89.740771,10.0,89.740771,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""14020920903409201564"", ""hash_xor"": ""14094222170840866914"", ""rows"": 189}",,4668,189,"[""01c6f21b-0001-fcf8-0001-9ade000aa82e""]",0.0,True,"{""01c6f21b-0001-fcf8-0001-9ade000aa82e"": {""server_total_ms"": 73, ""server_compilation_ms"": 62, ""server_execution_ms"": 11, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
10000,warehouse,join_groupby,snowflake,1,1,01c6f21b-0001-fcf8-0001-9ade000aa832,134.407442,10.0,134.407442,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""14875591726169594843"", ""hash_xor"": ""16117896640135194181"", ""rows"": 200}",,6532,200,"[""01c6f21b-0001-fcf8-0001-9ade000aa84e""]",0.0,True,"{""01c6f21b-0001-fcf8-0001-9ade000aa84e"": {""server_total_ms"": 106, ""server_compilation_ms"": 71, ""server_execution_ms"": 35, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 333824}}"
10000,warehouse,join_groupby,snowflake,1,2,01c6f21b-0001-fcf8-0001-9ade000aa832,129.554406,0.0,129.554406,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""14875591726169594843"", ""hash_xor"": ""16117896640135194181"", ""rows"": 200}",,6532,200,"[""01c6f21b-0001-fcf8-0001-9ade000aa852""]",0.0,True,"{""01c6f21b-0001-fcf8-0001-9ade000aa852"": {""server_total_ms"": 100, ""server_compilation_ms"": 65, ""server_execution_ms"": 35, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 333824}}"
1000,warehouse,clean_derive,duckdb,1,1,01c6f21b-0001-fe0c-0001-9ade000afd7e,2.691267,20.0,95.825619,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""3180368210041205905"", ""hash_xor"": ""8925613786364592519"", ""rows"": 1000}",79.085769,16132,1000,"[""01c6f21b-0001-fe0c-0001-9ade000afd9e""]",14.048583,True,"{""01c6f21b-0001-fe0c-0001-9ade000afd9e"": {""server_total_ms"": 60, ""server_compilation_ms"": 50, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
1000,warehouse,clean_derive,duckdb,1,2,01c6f21b-0001-fe0c-0001-9ade000afd7e,2.507674,30.0,106.068564,"{""columns"": [""id"", ""net_cents""], ""dtypes"": [""int64"", ""int64""], ""hash_sum"": ""3180368210041205905"", ""hash_xor"": ""8925613786364592519"", ""rows"": 1000}",88.995275,16132,1000,"[""01c6f21b-0001-fe0c-0001-9ade000afda2""]",14.565615,True,"{""01c6f21b-0001-fe0c-0001-9ade000afda2"": {""server_total_ms"": 69, ""server_compilation_ms"": 59, ""server_execution_ms"": 10, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 10240}}"
100000,warehouse,filter_project,duckdb,1,1,01c6f21b-0001-fcf9-0001-9ade000b50a2,2.65721,20.0,280.769336,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""6934637738391437775"", ""hash_xor"": ""13010755706745315299"", ""rows"": 19886}",264.894923,477396,19886,"[""01c6f21b-0001-fcf9-0001-9ade000b50be""]",13.217203,True,"{""01c6f21b-0001-fcf9-0001-9ade000b50be"": {""server_total_ms"": 168, ""server_compilation_ms"": 64, ""server_execution_ms"": 104, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
100000,warehouse,filter_project,duckdb,1,2,01c6f21b-0001-fcf9-0001-9ade000b50a2,2.733915,20.0,269.467698,"{""columns"": [""id"", ""region_id"", ""gross_cents""], ""dtypes"": [""int64"", ""int64"", ""int64""], ""hash_sum"": ""6934637738391437775"", ""hash_xor"": ""13010755706745315299"", ""rows"": 19886}",253.76677,477396,19886,"[""01c6f21c-0001-fcf9-0001-9ade000b50c2""]",12.967013,True,"{""01c6f21c-0001-fcf9-0001-9ade000b50c2"": {""server_total_ms"": 164, ""server_compilation_ms"": 64, ""server_execution_ms"": 100, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 973312}}"
10000,warehouse,join_groupby,pandas,1,1,01c6f21c-0001-fe2b-0001-9ade000b801e,10.880139,30.0,433.13661,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""14875591726169594843"", ""hash_xor"": ""16117896640135194181"", ""rows"": 200}",422.256471,6532,200,"[""01c6f21c-0001-fe2b-0001-9ade000b803e"", ""01c6f21c-0001-fe2b-0001-9ade000b8042""]",0.0,True,"{""01c6f21c-0001-fe2b-0001-9ade000b803e"": {""server_total_ms"": 88, ""server_compilation_ms"": 73, ""server_execution_ms"": 15, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}, ""01c6f21c-0001-fe2b-0001-9ade000b8042"": {""server_total_ms"": 208, ""server_compilation_ms"": 79, ""server_execution_ms"": 129, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 238592}}"
10000,warehouse,join_groupby,pandas,1,2,01c6f21c-0001-fe2b-0001-9ade000b801e,10.359981,30.0,455.951916,"{""columns"": [""region_id"", ""tier"", ""total_cents"", ""row_count""], ""dtypes"": [""int64"", ""int64"", ""int64"", ""int64""], ""hash_sum"": ""14875591726169594843"", ""hash_xor"": ""16117896640135194181"", ""rows"": 200}",445.591935,6532,200,"[""01c6f21c-0001-fe2b-0001-9ade000b8046"", ""01c6f21c-0001-fe2b-0001-9ade000b804a""]",0.0,True,"{""01c6f21c-0001-fe2b-0001-9ade000b8046"": {""server_total_ms"": 96, ""server_compilation_ms"": 81, ""server_execution_ms"": 15, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 95232}, ""01c6f21c-0001-fe2b-0001-9ade000b804a"": {""server_total_ms"": 223, ""server_compilation_ms"": 77, ""server_execution_ms"": 146, ""server_provisioning_queue_ms"": 0, ""server_overload_queue_ms"": 0, ""server_bytes_scanned"": 238592}}"
