rows,workload,engine,n,mean_ms,std_ms,median_ms,min_ms,max_ms,input_mean_ms,setup_mean_ms,compute_mean_ms
1000,clean_derive,duckdb,2,100.9470915,7.242855868820835,100.9470915,95.825619,106.068564,84.04052200000001,14.307099000000001,2.5994705
1000,clean_derive,pandas,2,103.46395100000001,4.474076736601638,103.46395100000001,100.300301,106.627601,102.6229415,0.0,0.8410095
1000,clean_derive,snowflake,2,102.8669565,7.415759033170144,102.8669565,97.623223,108.11069,,0.0,102.8669565
1000,filter_project,duckdb,2,148.96087899999998,23.238518477260808,148.96087899999998,132.528765,165.392993,134.2563295,12.4836685,2.2208810000000003
1000,filter_project,pandas,2,90.85590099999999,7.487987869547998,90.85590099999999,85.561094,96.150708,89.822507,0.0,1.033394
1000,filter_project,snowflake,2,93.9020505,5.88493790572513,93.9020505,89.740771,98.06333,,0.0,93.9020505
1000,groupby,duckdb,2,113.94006049999999,12.416712346142376,113.94006049999999,105.160119,122.720002,97.66649050000001,12.6910425,3.5825275000000003
1000,groupby,pandas,2,88.5399565,2.6298538629194828,88.5399565,86.680369,90.399544,84.87997949999999,0.0,3.659977
1000,groupby,snowflake,2,110.7192445,4.661097287837326,110.7192445,107.423351,114.015138,,0.0,110.7192445
1000,join_groupby,duckdb,2,393.3333625,4.611349497353731,393.3333625,390.072646,396.594079,370.538428,15.161475,7.6334595
1000,join_groupby,pandas,2,405.2777685,17.273990046458866,405.2777685,393.063213,417.492324,395.32597,0.0,9.9517985
1000,join_groupby,snowflake,2,145.417907,10.45154592860607,145.417907,138.027548,152.808266,,0.0,145.417907
10000,clean_derive,duckdb,2,112.565589,5.241938132427735,112.565589,108.858979,116.272199,96.624916,13.1457445,2.7949285
10000,clean_derive,pandas,2,95.3867265,0.7706763879219977,95.3867265,94.841776,95.931677,94.43046100000001,0.0,0.9562655
10000,clean_derive,snowflake,2,207.11071149999998,10.430392829246863,207.11071149999998,199.73531,214.486113,,0.0,207.11071149999998
10000,filter_project,duckdb,2,103.275508,0.32586026061488416,103.275508,103.04509,103.505926,88.0780195,12.827363,2.3701255000000003
10000,filter_project,pandas,2,109.056179,0.986124045974943,109.056179,108.358884,109.753474,107.939041,0.0,1.1171380000000002
10000,filter_project,snowflake,2,102.7199495,9.539933259698646,102.7199495,95.974198,109.465701,,0.0,102.7199495
10000,groupby,duckdb,2,136.7268605,1.721016588128223,136.7268605,135.509918,137.943803,119.3660065,13.3957915,3.9650625
10000,groupby,pandas,2,92.560175,1.5364553542775021,92.560175,91.473737,93.646613,88.743146,0.0,3.817029
10000,groupby,snowflake,2,116.273807,6.281952200410475,116.273807,111.831796,120.715818,,0.0,116.273807
10000,join_groupby,duckdb,2,439.807241,14.539980768884183,439.807241,429.525922,450.08856,416.480269,14.3468645,8.980107499999999
10000,join_groupby,pandas,2,444.544263,16.1328575874461,444.544263,433.13661,455.951916,433.924203,0.0,10.620059999999999
10000,join_groupby,snowflake,2,131.98092400000002,3.43161466494244,131.98092400000002,129.554406,134.407442,,0.0,131.98092400000002
100000,clean_derive,duckdb,2,360.7595975,9.898030518467827,360.7595975,353.760633,367.758562,341.4022595,12.8825775,6.4747605
100000,clean_derive,pandas,2,325.57009949999997,0.009608874049521123,325.57009949999997,325.563305,325.576894,323.752858,0.0,1.8172415
100000,clean_derive,snowflake,2,358.6459635,9.252883261875974,358.6459635,352.103187,365.18874,,0.0,358.6459635
100000,filter_project,duckdb,2,275.118517,7.991464868315589,275.118517,269.467698,280.769336,259.3308465,13.092108,2.6955625000000003
100000,filter_project,pandas,2,268.585863,7.4084213861017885,268.585863,263.347318,273.824408,267.139188,0.0,1.446675
100000,filter_project,snowflake,2,263.911289,6.516126167349583,263.911289,259.303692,268.518886,,0.0,263.911289
100000,groupby,duckdb,2,338.2981655,11.306356709780756,338.2981655,330.303364,346.292967,319.91182549999996,12.4478535,5.9384865
100000,groupby,pandas,2,335.05248600000004,21.973473333019687,335.05248600000004,319.514894,350.590078,330.17873,0.0,4.873756
100000,groupby,snowflake,2,90.8822945,1.0587955311978374,90.8822945,90.133613,91.630976,,0.0,90.8822945
100000,join_groupby,duckdb,2,673.8240875,14.29658542241164,673.8240875,663.714875,683.9333,642.1596995,14.6820865,16.9823015
100000,join_groupby,pandas,2,620.9013130000001,29.468901380119306,620.9013130000001,600.063653,641.738973,603.3884055000001,0.0,17.5129075
100000,join_groupby,snowflake,2,155.638828,2.8083071083943207,155.638828,153.653055,157.624601,,0.0,155.638828
