rows,workload,engine,component,n,mean_ms,std_ms
10000000,clean_derive,pandas,input_ms,30,1936.5999643,70.37711591066531
10000000,clean_derive,pandas,setup_ms,30,0.0,0.0
10000000,clean_derive,pandas,compute_to_dataframe_ms,30,136.99746956666667,27.734112886763214
10000000,clean_derive,duckdb,input_ms,30,1986.9192814666667,85.87917698462054
10000000,clean_derive,duckdb,setup_ms,30,13.305482233333333,0.41112517817978184
10000000,clean_derive,duckdb,compute_to_dataframe_ms,30,135.59970213333332,64.17972495093552
10000000,filter_project,pandas,input_ms,30,1049.5638690333333,77.0316148682604
10000000,filter_project,pandas,setup_ms,30,0.0,0.0
10000000,filter_project,pandas,compute_to_dataframe_ms,30,56.199329666666664,3.0667214317545675
10000000,filter_project,duckdb,input_ms,30,1038.1958666666667,36.38140910352134
10000000,filter_project,duckdb,setup_ms,30,13.515395366666667,0.5770105029769887
10000000,filter_project,duckdb,compute_to_dataframe_ms,30,28.382875066666667,11.69160274868929
10000000,groupby,pandas,input_ms,30,1517.8065300666667,88.35676175618339
10000000,groupby,pandas,setup_ms,30,0.0,0.0
10000000,groupby,pandas,compute_to_dataframe_ms,30,149.19346693333333,28.21808252480365
10000000,groupby,duckdb,input_ms,30,1505.3811496666667,79.64783500701577
10000000,groupby,duckdb,setup_ms,30,13.130881500000001,0.4958642562558028
10000000,groupby,duckdb,compute_to_dataframe_ms,30,42.68547566666667,0.42210958561184314
10000000,join_groupby,pandas,input_ms,30,2120.6230852,86.53347320059878
10000000,join_groupby,pandas,setup_ms,30,0.0,0.0
10000000,join_groupby,pandas,compute_to_dataframe_ms,30,785.2048963333333,93.76225306184708
10000000,join_groupby,duckdb,input_ms,30,2155.2308279,114.39806456820926
10000000,join_groupby,duckdb,setup_ms,30,14.480582333333333,0.666862705295389
10000000,join_groupby,duckdb,compute_to_dataframe_ms,30,129.99708543333332,9.71742145979096
